수박 Num,파일명,특징A (형태비율),특징B (선명도),특징C (면적 %),특징D (평균굵기),특징E (파편화/가닥),당도 (Brix),상태
157,157_jpg.rf.WwGM04zh7mcOgq8Ksrzj.jpg,0.923,111.88,24.14,23.5,115,9.0,성공
158,158_jpg.rf.yLz3vT6TGRRd4OxwE2aq.jpg,0.942,109.95,23.19,18.76,180,9.0,성공
159,159_jpg.rf.WcUT2d3wA1ggoXWfRMdb.jpg,0.936,117.05,25.3,25.92,189,9.0,성공
160,160_jpg.rf.oZg8ZJKNQ1upi7319TaN.jpg,0.975,119.73,24.67,13.96,201,9.0,성공
161,161_jpg.rf.1QRaR5SfF3YGo3CufId9.jpg,0.953,108.28,27.06,33.86,82,9.0,성공
162,162_jpg.rf.MMKH0qiSVJzRQmdSFfFB.jpg,0.946,82.46,30.49,23.82,411,9.0,성공
163,163_jpg.rf.4ZcPHkO68a5mcAMabJGt.jpg,0.927,93.17,22.71,8.49,194,9.6,성공
164,164_jpg.rf.N7q4ZkJbDszLwARYfJGO.jpg,0.903,96.82,11.45,2.79,412,9.6,성공
165,165_jpg.rf.dzgfP9mXLeQp7dXuTu5x.jpg,0.886,96.04,6.87,2.74,234,9.6,성공
166,166_jpg.rf.WpTXorVE7QvMfDZFvvTK.jpg,0.901,93.44,17.33,6.88,255,9.6,성공
167,167_jpg.rf.kZQ65u5oRxMgYYdEbMQ2.jpg,0.904,110.84,13.74,3.74,196,9.6,성공
168,168_jpg.rf.iq1YkwpHc3XunbmcJnYf.jpg,0.93,89.69,6.38,2.6,251,9.6,성공
169,169_jpg.rf.8c0egEODl8AdAd7aEvwF.jpg,0.893,118.37,20.33,8.06,203,9.6,성공
170,170_jpg.rf.CTn2WAwRqNGosTS8la95.jpg,0.904,104.69,11.52,3.44,408,9.6,성공
171,171_jpg.rf.sSvZeYbdLAikJupZ4Mp8.jpg,0.925,95.35,8.97,3.75,224,9.6,성공
